id_registro_asistencia,id_empleado,nombre_y_apellido_empleado,fecha,hora_entrada,hora_salida,entrada_minutos,salida_minutos,ausente,ausencias_consecutivas,llegadas_tarde_consecutivas,salidas_tempranas_consecutivas
1,1,Juan Pérez,2025-03-01,08:05,17:00,485,1020,0,0,0,0
2,1,Juan Pérez,2025-03-02,08:00,17:00,480,1020,0,0,0,0
3,1,Juan Pérez,2025-03-03,08:05,17:00,485,1020,0,0,0,0
4,1,Juan Pérez,2025-03-04,08:10,17:00,490,1020,0,0,0,0
5,1,Juan Pérez,2025-03-05,08:00,17:00,480,1020,0,0,0,0
6,1,Juan Pérez,2025-03-06,08:05,17:00,485,1020,0,0,0,0
7,1,Juan Pérez,2025-03-07,08:00,17:00,480,1020,0,0,0,0
8,1,Juan Pérez,2025-03-08,08:05,17:00,485,1020,0,0,0,0
9,1,Juan Pérez,2025-03-09,08:00,17:00,480,1020,0,0,0,0
10,1,Juan Pérez,2025-03-10,08:10,14:00,490,840,0,0,0,1
11,1,Juan Pérez,2025-03-11,08:00,16:00,480,960,0,0,0,2
12,1,Juan Pérez,2025-03-12,08:10,17:00,490,1020,0,0,0,0
13,1,Juan Pérez,2025-03-13,08:10,15:30,490,930,0,0,0,1
14,1,Juan Pérez,2025-03-14,08:10,17:00,490,1020,0,0,0,0
15,1,Juan Pérez,2025-03-15,08:00,17:00,480,1020,0,0,0,0
16,1,Juan Pérez,2025-03-16,08:10,15:15,490,915,0,0,0,1
17,1,Juan Pérez,2025-03-17,08:05,17:00,485,1020,0,0,0,0
18,1,Juan Pérez,2025-03-18,08:10,17:00,490,1020,0,0,0,0
19,1,Juan Pérez,2025-03-19,08:00,17:00,480,1020,0,0,0,0
20,1,Juan Pérez,2025-03-20,08:00,17:00,480,1020,0,0,0,0
21,1,Juan Pérez,2025-03-21,08:05,17:00,485,1020,0,0,0,0
22,1,Juan Pérez,2025-03-22,,,0,0,1,1,0,0
23,1,Juan Pérez,2025-03-23,,,0,0,1,2,0,0
24,1,Juan Pérez,2025-03-24,08:05,17:00,485,1020,0,0,0,0
25,1,Juan Pérez,2025-03-25,08:05,17:00,485,1020,0,0,0,0
26,1,Juan Pérez,2025-03-26,,,0,0,1,1,0,0
27,1,Juan Pérez,2025-03-27,,,0,0,1,2,0,0
28,1,Juan Pérez,2025-03-28,08:00,16:15,480,975,0,0,0,1
29,1,Juan Pérez,2025-03-29,08:10,17:00,490,1020,0,0,0,0
30,1,Juan Pérez,2025-03-30,08:05,17:00,485,1020,0,0,0,0
31,2,María Gómez,2025-03-01,08:00,17:00,480,1020,0,0,0,0
32,2,María Gómez,2025-03-02,08:10,17:00,490,1020,0,0,0,0
33,2,María Gómez,2025-03-03,08:10,17:00,490,1020,0,0,0,0
34,2,María Gómez,2025-03-04,,,0,0,1,1,0,0
35,2,María Gómez,2025-03-05,08:00,16:30,480,990,0,0,0,1
36,2,María Gómez,2025-03-06,08:00,15:00,480,900,0,0,0,2
37,2,María Gómez,2025-03-07,08:10,17:00,490,1020,0,0,0,0
38,2,María Gómez,2025-03-08,08:05,17:00,485,1020,0,0,0,0
39,2,María Gómez,2025-03-09,08:00,17:00,480,1020,0,0,0,0
40,2,María Gómez,2025-03-10,08:00,17:00,480,1020,0,0,0,0
41,2,María Gómez,2025-03-11,08:05,17:00,485,1020,0,0,0,0
42,2,María Gómez,2025-03-12,,,0,0,1,1,0,0
43,2,María Gómez,2025-03-13,08:10,17:00,490,1020,0,0,0,0
44,2,María Gómez,2025-03-14,08:10,16:15,490,975,0,0,0,1
45,2,María Gómez,2025-03-15,08:00,17:00,480,1020,0,0,0,0
46,2,María Gómez,2025-03-16,08:10,17:00,490,1020,0,0,0,0
47,2,María Gómez,2025-03-17,,,0,0,1,1,0,0
48,2,María Gómez,2025-03-18,08:10,17:00,490,1020,0,0,0,0
49,2,María Gómez,2025-03-19,08:10,15:00,490,900,0,0,0,1
50,2,María Gómez,2025-03-20,08:00,17:00,480,1020,0,0,0,0
51,2,María Gómez,2025-03-21,08:10,17:00,490,1020,0,0,0,0
52,2,María Gómez,2025-03-22,,,0,0,1,1,0,0
53,2,María Gómez,2025-03-23,08:05,17:00,485,1020,0,0,0,0
54,2,María Gómez,2025-03-24,08:00,16:00,480,960,0,0,0,1
55,2,María Gómez,2025-03-25,08:00,17:00,480,1020,0,0,0,0
56,2,María Gómez,2025-03-26,,,0,0,1,1,0,0
57,2,María Gómez,2025-03-27,,,0,0,1,2,0,0
